date,year,division_code,division_name,inflation,rank
2017-01-01,2017,7.0,transport,13.17116823950537,1.0
2017-01-01,2017,1.0,food_and_beverages,3.947810881700154,2.0
2017-01-01,2017,6.0,health,2.5586655357647814,3.0
2017-01-01,2017,11.0,restaurants_and_accommodation_services,2.504496103377085,4.0
2017-01-01,2017,4.0,housing_utilities_gas_and_other_fuels,2.218816144806945,5.0
2017-01-01,2017,5.0,household_furnishings_equipment_and_maintenance,2.180870859694828,6.0
2017-01-01,2017,9.0,recreation_sport_and_culture,1.8961315869631343,7.0
2017-01-01,2017,10.0,education,1.640177081065386,8.0
2017-01-01,2017,13.0,personal_care_social_protection_and_miscellaneous,1.1664820967146603,9.0
2017-01-01,2017,12.0,insurance_and_financial_services,0.3146067415730202,10.0
2017-01-01,2017,2.0,alcoholic_beverages_and_tobacco,0.1512935599374598,11.0
2017-01-01,2017,8.0,information_and_communication,-0.3314635390107012,12.0
2017-01-01,2017,3.0,clothing_and_footwear,-0.3552397868561208,13.0
2018-01-01,2018,4.0,housing_utilities_gas_and_other_fuels,1.9850053552302735,1.0
2018-01-01,2018,1.0,food_and_beverages,1.630434782608714,2.0
2018-01-01,2018,11.0,restaurants_and_accommodation_services,1.5140684904802135,3.0
2018-01-01,2018,7.0,transport,1.5095967220185358,4.0
2018-01-01,2018,10.0,education,1.1353088182791904,5.0
2018-01-01,2018,6.0,health,0.799448656099222,6.0
2018-01-01,2018,5.0,household_furnishings_equipment_and_maintenance,0.3787878787878895,7.0
2018-01-01,2018,2.0,alcoholic_beverages_and_tobacco,-0.1107810060929526,8.0
2018-01-01,2018,9.0,recreation_sport_and_culture,-0.4483969807936638,9.0
2018-01-01,2018,12.0,insurance_and_financial_services,-1.1798088410991392,10.0
2018-01-01,2018,13.0,personal_care_social_protection_and_miscellaneous,-1.4157483762679668,11.0
2018-01-01,2018,8.0,information_and_communication,-1.74810266905433,12.0
2018-01-01,2018,3.0,clothing_and_footwear,-2.0456667515491023,13.0
2019-01-01,2019,4.0,housing_utilities_gas_and_other_fuels,1.8693551774837225,1.0
2019-01-01,2019,1.0,food_and_beverages,1.6488413547236958,2.0
2019-01-01,2019,2.0,alcoholic_beverages_and_tobacco,1.4921611130715329,3.0
2019-01-01,2019,10.0,education,1.404970347359491,4.0
2019-01-01,2019,5.0,household_furnishings_equipment_and_maintenance,1.4005805515239445,5.0
2019-01-01,2019,11.0,restaurants_and_accommodation_services,1.2290359749071778,6.0
2019-01-01,2019,9.0,recreation_sport_and_culture,0.6756249530815994,7.0
2019-01-01,2019,6.0,health,0.6358539587036915,8.0
2019-01-01,2019,8.0,information_and_communication,0.3992362437076791,9.0
2019-01-01,2019,13.0,personal_care_social_protection_and_miscellaneous,0.377526093715308,10.0
2019-01-01,2019,12.0,insurance_and_financial_services,-0.3551458364817961,11.0
2019-01-01,2019,3.0,clothing_and_footwear,-1.915077989601388,12.0
2019-01-01,2019,7.0,transport,-3.123008285532181,13.0
2020-01-01,2020,13.0,personal_care_social_protection_and_miscellaneous,2.6474926253687414,1.0
2020-01-01,2020,1.0,food_and_beverages,1.2713722051731713,2.0
2020-01-01,2020,6.0,health,1.1753515863849318,3.0
2020-01-01,2020,8.0,information_and_communication,1.141078838174292,4.0
2020-01-01,2020,10.0,education,1.0095383972707594,5.0
2020-01-01,2020,9.0,recreation_sport_and_culture,0.5145030199090295,6.0
2020-01-01,2020,11.0,restaurants_and_accommodation_services,0.4426457569242537,7.0
2020-01-01,2020,2.0,alcoholic_beverages_and_tobacco,0.3178860577161879,8.0
2020-01-01,2020,5.0,household_furnishings_equipment_and_maintenance,0.2361697559579045,9.0
2020-01-01,2020,12.0,insurance_and_financial_services,-0.0075832259042951,10.0
2020-01-01,2020,3.0,clothing_and_footwear,-0.8392967576640986,11.0
2020-01-01,2020,4.0,housing_utilities_gas_and_other_fuels,-1.7319587628866095,12.0
2020-01-01,2020,7.0,transport,-9.985380116959051,13.0
2021-01-01,2021,7.0,transport,11.01185642358291,1.0
2021-01-01,2021,1.0,food_and_beverages,1.7687074829931817,2.0
2021-01-01,2021,5.0,household_furnishings_equipment_and_maintenance,1.627873768385002,3.0
2021-01-01,2021,4.0,housing_utilities_gas_and_other_fuels,1.5736466638690771,4.0
2021-01-01,2021,2.0,alcoholic_beverages_and_tobacco,0.5050254988364644,5.0
2021-01-01,2021,13.0,personal_care_social_protection_and_miscellaneous,0.4885408434514016,6.0
2021-01-01,2021,9.0,recreation_sport_and_culture,0.4525222551928776,7.0
2021-01-01,2021,6.0,health,0.4364759602470958,8.0
2021-01-01,2021,11.0,restaurants_and_accommodation_services,0.4029211785444353,9.0
2021-01-01,2021,10.0,education,0.1240694789081953,10.0
2021-01-01,2021,12.0,insurance_and_financial_services,0.0151676020021307,11.0
2021-01-01,2021,8.0,information_and_communication,0.0,12.0
2021-01-01,2021,3.0,clothing_and_footwear,-0.4365645046329414,13.0
2022-01-01,2022,1.0,food_and_beverages,5.74866310160429,1.0
2022-01-01,2022,11.0,restaurants_and_accommodation_services,4.991221469776774,2.0
2022-01-01,2022,7.0,transport,4.674469641550849,3.0
2022-01-01,2022,5.0,household_furnishings_equipment_and_maintenance,3.5408177602922475,4.0
2022-01-01,2022,9.0,recreation_sport_and_culture,2.230263643748631,5.0
2022-01-01,2022,13.0,personal_care_social_protection_and_miscellaneous,1.980410381068132,6.0
2022-01-01,2022,4.0,housing_utilities_gas_and_other_fuels,1.810920608689659,7.0
2022-01-01,2022,10.0,education,1.1152416356877248,8.0
2022-01-01,2022,6.0,health,0.7086982683693233,9.0
2022-01-01,2022,2.0,alcoholic_beverages_and_tobacco,0.5665303709542435,10.0
2022-01-01,2022,12.0,insurance_and_financial_services,0.1592356687897922,11.0
2022-01-01,2022,3.0,clothing_and_footwear,0.1252796420581736,12.0
2022-01-01,2022,8.0,information_and_communication,-0.0085470085469996,13.0
2023-01-01,2023,11.0,restaurants_and_accommodation_services,5.5422838031533805,1.0
2023-01-01,2023,1.0,food_and_beverages,4.82703137570395,2.0
2023-01-01,2023,13.0,personal_care_social_protection_and_miscellaneous,2.4747616376892934,3.0
2023-01-01,2023,5.0,household_furnishings_equipment_and_maintenance,2.273035690052927,4.0
2023-01-01,2023,6.0,health,2.117772024165188,5.0
2023-01-01,2023,10.0,education,1.85185185185186,6.0
2023-01-01,2023,4.0,housing_utilities_gas_and_other_fuels,1.6569728121195837,7.0
2023-01-01,2023,9.0,recreation_sport_and_culture,1.4664451347251362,8.0
