date,state,lf,lf_employed,lf_unemployed,lf_outside,p_rate,u_rate
2017-01-01,Johor,1685.8,1634.6,51.2,816.9,67.4,3.0
2017-04-01,Johor,1675.2,1616.0,59.2,823.5,67.0,3.5
2017-07-01,Johor,1675.4,1607.7,67.7,830.7,66.9,4.0
2017-10-01,Johor,1684.4,1632.6,51.8,825.4,67.1,3.1
2018-01-01,Johor,1740.3,1691.7,48.6,784.8,68.9,2.8
2018-04-01,Johor,1756.2,1703.5,52.7,784.9,69.1,3.0
2018-07-01,Johor,1771.6,1713.1,58.4,767.4,69.8,3.3
2018-10-01,Johor,1788.1,1739.0,49.1,761.3,70.1,2.7
2019-01-01,Johor,1792.4,1743.2,49.3,763.4,70.1,2.8
2019-04-01,Johor,1920.9,1869.1,51.8,642.9,74.9,2.7
2019-07-01,Johor,1714.6,1666.2,48.4,858.3,66.6,2.8
2019-10-01,Johor,1783.5,1736.0,47.5,797.9,69.1,2.7
2020-01-01,Johor,1771.9,1714.4,57.5,823.3,68.3,3.2
2020-04-01,Johor,1754.1,1673.0,81.2,857.4,67.2,4.6
2020-07-01,Johor,1858.7,1792.2,66.5,793.9,70.1,3.6
2020-10-01,Johor,1824.4,1752.4,72.0,854.1,68.1,3.9
2021-01-01,Johor,1793.4,1722.6,70.8,846.6,67.9,3.9
2021-04-01,Johor,1766.4,1698.6,67.8,847.6,67.6,3.8
2021-07-01,Johor,1807.6,1735.2,72.4,824.0,68.7,4.0
2021-10-01,Johor,1839.5,1774.2,65.3,807.6,69.5,3.6
2022-01-01,Johor,1839.3,1780.7,58.6,834.1,68.8,3.2
2022-04-01,Johor,1848.4,1795.0,53.4,813.2,69.4,2.9
2022-07-01,Johor,1864.4,1818.1,46.3,810.7,69.7,2.5
2022-10-01,Johor,1856.0,1812.2,43.7,823.7,69.3,2.4
2023-01-01,Johor,1878.7,1830.1,48.6,812.8,69.8,2.6
2023-04-01,Johor,1884.6,1838.7,46.0,811.5,69.9,2.4
2023-07-01,Johor,1910.2,1863.2,47.0,795.5,70.6,2.5
2023-10-01,Johor,1936.4,1891.8,44.6,788.5,71.1,2.3
2024-01-01,Johor,1941.6,1895.2,46.4,781.5,71.3,2.4
2024-04-01,Johor,1948.1,1899.1,49.0,778.9,71.4,2.5
2024-07-01,Johor,1963.2,1918.5,44.7,785.0,71.4,2.3
2024-10-01,Johor,1972.8,1930.0,42.8,772.7,71.9,2.2
2017-01-01,Kedah,934.4,910.8,23.6,503.5,65.0,2.5
2017-04-01,Kedah,950.2,921.4,28.8,493.9,65.8,3.0
2017-07-01,Kedah,923.3,898.7,24.6,523.0,63.8,2.7
2017-10-01,Kedah,948.6,919.2,29.4,502.7,65.4,3.1
2018-01-01,Kedah,944.1,915.8,28.2,528.0,64.1,3.0
2018-04-01,Kedah,939.6,916.1,23.5,534.0,63.8,2.5
2018-07-01,Kedah,922.4,893.3,29.0,558.9,62.3,3.1
2018-10-01,Kedah,958.4,930.1,28.4,528.5,64.5,3.0
2019-01-01,Kedah,956.9,928.5,28.3,536.1,64.1,3.0
2019-04-01,Kedah,963.2,936.2,27.0,542.6,64.0,2.8
2019-07-01,Kedah,942.3,911.9,30.4,567.6,62.4,3.2
2019-10-01,Kedah,943.0,914.1,28.9,568.4,62.4,3.1
