date,unemployment_rate
2017-01-01,3.5
2017-04-01,3.4
2017-07-01,3.4
2017-10-01,3.4
2018-01-01,3.3
2018-04-01,3.3
2018-07-01,3.4
2018-10-01,3.3
2019-01-01,3.3
2019-04-01,3.3
2019-07-01,3.3
2019-10-01,3.2
2020-01-01,3.5
2020-04-01,5.1
2020-07-01,4.7
2020-10-01,4.8
2021-01-01,4.8
2021-04-01,4.8
2021-07-01,4.7
2021-10-01,4.3
2022-01-01,4.1
2022-04-01,3.9
2022-07-01,3.7
2022-10-01,3.6
2023-01-01,3.5
2023-04-01,3.5
2023-07-01,3.4
2023-10-01,3.3
2024-01-01,3.3
2024-04-01,3.3
2024-07-01,3.2
2024-10-01,3.2
