Indicator Name,Year,Value
Exports (% of GDP),2017,70.01174251
Exports (% of GDP),2018,68.55497142
Exports (% of GDP),2019,65.27776684
Exports (% of GDP),2020,61.57793591
Exports (% of GDP),2021,70.63305555
Exports (% of GDP),2022,76.85018864
Exports (% of GDP),2023,68.58190098
Imports (% of GDP),2017,63.14343086
Imports (% of GDP),2018,61.84765408
Imports (% of GDP),2019,57.75079519
Imports (% of GDP),2020,55.21024653
Imports (% of GDP),2021,63.40293914
Imports (% of GDP),2022,69.65522964
Imports (% of GDP),2023,63.4824063
